alias,normalized_alias,entity_id,ambiguity_count,resolution_status
悉皆金色願,悉皆金色愿,ent_951d475ca377,1,unique_alias
悉恥羅末底,悉耻罗末底,ent_b32591425896,1,unique_alias
悉耻罗末底,悉耻罗末底,ent_b32591425896,1,unique_alias
悉达多,悉达多,ent_74f079cb019b,1,unique_alias
悉達多,悉达多,ent_74f079cb019b,1,unique_alias
悔忏法,悔忏法,ent_ca7d4928a860,1,unique_alias
悔懺法,悔忏法,ent_ca7d4928a860,1,unique_alias
悔过经,悔过经,ent_a6b1130ea871,1,unique_alias
悔過經,悔过经,ent_a6b1130ea871,1,unique_alias
悕玄,悕玄,ent_8ede38a6c512,1,unique_alias
悟一法师,悟一法师,ent_241715883e8c,1,unique_alias
悟一法師,悟一法师,ent_241715883e8c,1,unique_alias
悟入,悟入,ent_d529cd4c1c62,1,unique_alias
悟刹,悟刹,ent_954a709b5051,1,unique_alias
悟剎,悟刹,ent_954a709b5051,1,unique_alias
悟明法师,悟明法师,ent_f1bcf95fc357,1,unique_alias
悟明法師,悟明法师,ent_f1bcf95fc357,1,unique_alias
悟界,悟界,ent_ab28e0d2ae2d,1,unique_alias
悟真寺,悟真寺,ent_08ce0e1b6e5a,1,unique_alias
悟禅,悟禅,ent_865240b971ad,1,unique_alias
悟禪,悟禅,ent_865240b971ad,1,unique_alias
悟空,悟空,ent_e1f316de56d2,1,unique_alias
悅西,悦西,ent_9bcd7d533672,1,unique_alias
悫摩,悫摩,ent_e3633dcb8b0a,1,unique_alias
愨摩,悫摩,ent_e3633dcb8b0a,1,unique_alias
悬旷,悬旷,ent_b164d69e1a36,1,unique_alias
懸曠,悬旷,ent_b164d69e1a36,1,unique_alias
悬脚坐,悬脚坐,ent_b2d2bab27339,1,unique_alias
懸腳坐,悬脚坐,ent_b2d2bab27339,1,unique_alias
悬衣翁,悬衣翁,ent_7916df26fa2e,1,unique_alias
懸衣翁,悬衣翁,ent_7916df26fa2e,1,unique_alias
悬记,悬记,ent_550a74be9b6a,1,unique_alias
懸記,悬记,ent_550a74be9b6a,1,unique_alias
悬谈,悬谈,ent_0e3cda11afc2,1,unique_alias
懸談,悬谈,ent_0e3cda11afc2,1,unique_alias
悬香,悬香,ent_1a190770035e,1,unique_alias
懸香,悬香,ent_1a190770035e,1,unique_alias
悬鼓,悬鼓,ent_6ec000953820,1,unique_alias
懸鼓,悬鼓,ent_6ec000953820,1,unique_alias
悭惜加毁戒,悭惜加毁戒,ent_ae0ca11aef05,1,unique_alias
慳惜加毀戒,悭惜加毁戒,ent_ae0ca11aef05,1,unique_alias
悭法七报,悭法七报,ent_bbf5c8037900,1,unique_alias
慳法七報,悭法七报,ent_bbf5c8037900,1,unique_alias
悭结,悭结,ent_9c94297ceee3,1,unique_alias
慳結,悭结,ent_9c94297ceee3,1,unique_alias
悲华经,悲华经,ent_b0f3d7f3b201,1,unique_alias
悲華經,悲华经,ent_b0f3d7f3b201,1,unique_alias
悲增菩萨,悲增菩萨,ent_35d2fc3a419a,1,unique_alias
悲增菩薩,悲增菩萨,ent_35d2fc3a419a,1,unique_alias
悲幢,悲幢,ent_da8ea2ae0dda,1,unique_alias
悲引,悲引,ent_39b8e3da4e9e,1,unique_alias
悲愿船,悲愿船,ent_1610e6eefd1d,1,unique_alias
悲願船,悲愿船,ent_1610e6eefd1d,1,unique_alias
悲愿金刚,悲愿金刚,ent_103caf2f2ebf,1,unique_alias
悲願金剛,悲愿金刚,ent_103caf2f2ebf,1,unique_alias
悲手,悲手,ent_491ff3d86c49,1,unique_alias
