entity_id,name,entity_type,node_class,mention_count,document_count,in_relation_graph,in_claim_graph,analytics_enabled
ent_fe5f9271588d,十隨眠,Concept,StableSemanticEntity,6,6,false,false,false
ent_b84570ce0107,十障,Concept,StableSemanticEntity,0,0,false,false,false
ent_1f5cf8581377,十題判斷,Concept,StableSemanticEntity,0,0,false,false,false
ent_1bc9d31c2137,十魔,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_53fd79e4a9e8,千七百則,Concept,StableSemanticEntity,3,3,false,false,false
ent_ff1c35979bab,千中無一,Concept,StableSemanticEntity,0,0,false,false,false
ent_9d8be63f2db8,千二百意功德,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_eb203e882d83,千二百羅漢,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_3994982719c2,千二百耳功德,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_c039c45eb707,千二百舌功德,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_092061df084e,千佛,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_bdae6b4bf129,千佛出興異說,Concept,StableSemanticEntity,0,0,false,false,false
ent_c1f1dbecc723,千佛名經,Classic,StableSemanticEntity,0,0,false,false,false
ent_5fa7f233ab53,千佛因緣經,Classic,StableSemanticEntity,0,0,false,false,false
ent_ecb8e6ee1f61,千僧齋,Concept,StableSemanticEntity,13,9,false,false,false
ent_baf2249fbd47,千葉臺,Concept,StableSemanticEntity,0,0,false,false,false
ent_8ee8c92ffd55,千壇阿彌陀供養法,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_9295f37c2299,千如是,Concept,StableSemanticEntity,3,2,false,false,false
ent_aab5c4db94c9,千度觸犯不捨離印明,Concept,StableSemanticEntity,0,0,false,false,false
ent_3a24506de09b,千手二十八部,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_281336544b13,千手千眼,Concept,StableSemanticEntity,121,82,false,false,false
ent_c61d0adbfaec,千手千眼儀軌經,Classic,StableSemanticEntity,0,0,false,false,false
ent_6cc20f4d38ff,千手千眼觀音,BuddhistFigure,StableSemanticEntity,12,11,false,false,false
ent_05c443b8450d,千手真言,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_ede33360e20c,千手神咒,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_f0f21d60c781,千手經,Classic,StableSemanticEntity,0,0,false,false,false
ent_f7e17562f4d8,千手觀音,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_08eac0aa9ad2,千手觀音二十八部眾,BuddhistFigure,StableSemanticEntity,0,0,false,false,false
ent_61103e69aa0e,千手觀音小咒印言,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_bb9bc23eb46c,千手觀音曼荼羅,RitualObject,StableSemanticEntity,0,0,false,false,false
ent_b43cdd5521eb,千手軌,Concept,StableSemanticEntity,0,0,false,false,false
ent_580eb253eefd,千手陀羅尼,PracticeActivity,StableSemanticEntity,0,0,false,false,false
ent_9c94d438167a,千無一失,Concept,StableSemanticEntity,0,0,false,false,false
ent_29c4c69d372f,千法明門,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_8dec7ef47193,千百億化身,DoctrineTerm,StableSemanticEntity,65,51,false,false,false
ent_c8f348c7b28b,千眼千臂觀世音,Concept,StableSemanticEntity,0,0,false,false,false
ent_b6458498d700,千眼千臂觀世音菩薩陀羅尼神咒經,Classic,StableSemanticEntity,0,0,false,false,false
ent_8c3266730a92,千眼天,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_8fbac480d531,千轉經,Classic,StableSemanticEntity,0,0,false,false,false
ent_a755f2c5d9b7,千轉觀世音咒經,Classic,StableSemanticEntity,0,0,false,false,false
ent_56ff2b67470f,千輻輪相,DoctrineTerm,StableSemanticEntity,18,9,false,false,false
ent_dc94f1fd55fa,千部論師,Person,StableSemanticEntity,20,16,false,true,false
ent_c7f4874bb414,千里駒,Concept,StableSemanticEntity,4,4,false,false,false
ent_1ca36e458efc,午供,PracticeActivity,StableSemanticEntity,16,8,false,false,false
ent_da6f5eca234b,半不男,Concept,StableSemanticEntity,0,0,false,false,false
ent_1ebdb778aaca,半偈,Classic,StableSemanticEntity,0,0,false,false,false
ent_affebfdb097e,半只迦,Concept,StableSemanticEntity,0,0,false,false,false
ent_21a8b1d99935,半天婆羅門,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_47d082b8e10f,半天婆羅門多聞天雙身法,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_baee137a9759,半娜,Concept,StableSemanticEntity,0,0,false,false,false
ent_7a0860cf2121,半娜婆,Concept,StableSemanticEntity,0,0,false,false,false
ent_bcf7cb2ebe38,半字教,SchoolTradition,StableSemanticEntity,2,1,false,false,false
ent_42e06c486ce4,半託迦,Concept,StableSemanticEntity,9,5,false,false,false
ent_784b464aa52c,半拏囉嚩悉寧,Concept,StableSemanticEntity,0,0,false,false,false
ent_b326d04fa3c9,半擇迦,Concept,StableSemanticEntity,0,0,false,false,false
ent_d7071b5d7f01,半齋,Concept,StableSemanticEntity,0,0,false,false,false
ent_47958b6e5a35,半齋諷經,Classic,StableSemanticEntity,0,0,false,false,false
ent_1f810711473f,半斤八兩,Concept,StableSemanticEntity,10,10,false,false,false
ent_4f83dc021ae3,半月形相,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_66327a66e297,半果,Concept,StableSemanticEntity,0,0,false,false,false
ent_1d9e0b3115e7,半滿教,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_0cd9f4188ba0,半者佉闍尼,Concept,StableSemanticEntity,0,0,false,false,false
ent_fa07f2dd2002,半者珂但尼,Concept,StableSemanticEntity,0,0,false,false,false
ent_c20fe16f5008,半者蒲闍尼,Concept,StableSemanticEntity,0,0,false,false,false
ent_f287dd91cdc9,半者蒲饍尼,Concept,StableSemanticEntity,0,0,false,false,false
ent_fabe029a32ba,半行半坐三昧,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_a1a608dc646c,半裝束數珠,Concept,StableSemanticEntity,0,0,false,false,false
ent_880ec89b949a,半跏坐,Concept,StableSemanticEntity,1,1,false,false,false
ent_0f1f203c34c0,半跏趺,Concept,StableSemanticEntity,1,1,false,false,false
ent_91be7b739046,半跏趺坐,Concept,StableSemanticEntity,6,6,false,false,false
ent_3fcbaf6576ed,半遮羅,Concept,StableSemanticEntity,0,0,false,false,false
ent_7ef04aa9c7c3,半酪,Concept,StableSemanticEntity,0,0,false,false,false
ent_a443326920ef,卍正藏,Classic,StableSemanticEntity,0,0,false,false,false
ent_cbf84aedd22a,卍續藏,Classic,StableSemanticEntity,0,0,false,false,false
ent_f67ef8d5ec88,華嚴一乘,SchoolTradition,StableSemanticEntity,0,0,false,false,false
ent_b35ea1e8f275,華嚴一乘十玄門,SchoolTradition,StableSemanticEntity,1,1,false,false,false
ent_ec730e5c9596,華嚴一乘教義分齊章,Classic,StableSemanticEntity,0,0,false,false,false
ent_74ef7dcb5cc1,華嚴三聖,Group,StableSemanticEntity,20,17,false,false,false
ent_0eae139a5cb6,華嚴三昧,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
ent_e2a830762b4e,華嚴三生,DoctrineTerm,StableSemanticEntity,0,0,false,false,false
