entity_id,name,entity_type,mention_count,document_count,out_degree,in_degree,degree,relation_count,weighted_degree,evidence_count,pagerank,betweenness,harmonic_centrality,core_number,community_id,community_size,participation_coefficient,relation_family_count,view_count,views,neighbor_type_entropy,relation_rate,pagerank_percentile,betweenness_percentile,participation_percentile,bridge_score,degree_rank,pagerank_rank,betweenness_rank,bridge_rank
ent_de4ad2386580,孝慈,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,246,2,0.0,1,1,practice,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_0edcd0239cad,海天佛剎,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,223,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_cd50aa497678,龍濟紹修禪師,BuddhistFigure,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,204,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_003454d74224,福国寺,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,221,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_546008b94146,世界佛教徒友誼會第十六屆大會,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,211,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5d580320eaf7,布里斯本佛光分會,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,253.81904761904346,1,10,42,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_bce8864ea7d7,国际佛光会中华总会,Institution,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,228,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_c341be25a7a9,覺先法師,BuddhistFigure,23,10,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,88,2,0.0,1,1,propagation_organization,0.0,4.3478260869565215,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_987d4f75b709,慈航法師,BuddhistFigure,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,227,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_1ece0eebc4bc,安基開工典禮,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,248,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_816644d8d76b,元仁,BuddhistFigure,2,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,173,2,0.0,1,1,propagation_organization,0.0,50.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5d92d17761d8,僧遠大師,BuddhistFigure,3,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,249,2,0.0,1,1,propagation_organization,0.0,33.333333333333336,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_5d4d55d97c89,廣平,Person,15,9,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,245,2,0.0,1,1,propagation_organization,0.0,6.666666666666667,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_7714a12f7d9b,右昌分會,Institution,9,9,1,0,1,1,1,1,0.000286815404370145,0.0,283.5123015872991,1,4,150,0.0,1,1,propagation_organization,0.0,11.11111111111111,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_bc829c3b0bf0,蓮根比丘,BuddhistFigure,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,315.8769841269821,1,8,58,0.0,1,1,practice,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_712c67a704ce,太子建設公司,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,233,2,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_a0314821d2c8,國際佛教學術會議第六屆發表大會,PracticeActivity,0,0,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,171,2,0.0,1,1,propagation_organization,0.0,,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_cf7ff000f0a2,舊金山電視台,Institution,1,1,1,0,1,1,1,1,0.000286815404370145,0.0,373.5357142857113,1,1,235,0.0,1,1,propagation_organization,0.0,100.0,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
ent_c3f72d97a596,寺院道場,Institution,490,348,1,0,1,1,1,1,0.000286815404370145,0.0,1.0,1,232,2,0.0,1,1,propagation_organization,0.0,0.20408163265306123,0.16227578475336324,0.3276345291479821,0.39181614349775784,0.2985986547085202,648,1207,617,655
